bytes_sent,bytes_received,packets_sent,packets_received,protocol,port,cpu_usage,memory_usage,disk_io,process_count,login_attempts,file_operations,is_attack,timestamp,attack_type
-0.3875074122003826,-0.29972961810690574,-0.3794252658412876,-0.2289022869593636,http,53,0.2646807743975827,1.0450050424019892,-0.313705540572368,-0.21385211961918912,-0.13552472712078473,-0.46505076892117564,0,2024-12-21T18:19:54.813847,
-0.2930820712293771,-0.26035282581884295,-0.35682219828108575,-0.2355586499384788,tcp,53,0.347267818203467,-1.1354268937400775,-0.35528023731489083,-0.2540355309448694,0.05089354390059836,-0.6037325359524682,0,2024-12-21T18:19:54.813847,
-0.35225545698791455,-0.20348508590094086,-0.35290871482701475,-0.2949916122635956,http,443,0.30519741671692235,-0.7552819185261611,-0.3589631451469701,-0.4346696184652821,-0.41515213365285936,-0.2979197940295186,0,2024-12-21T18:19:54.813847,
-0.2918810753158155,-0.3466594652978227,-0.3942936643109592,-0.24070291888250347,udp,443,-0.7378821037938091,0.10575141586890646,-0.29897756220213495,0.06106547894288683,-0.22873386263147627,-0.4850377792598406,0,2024-12-21T18:19:54.813847,
-0.354150066464135,-0.16011826203623344,-0.321249899367023,-0.2967547333281777,tcp,80,-0.29498090988801695,1.251085816242355,-0.3485649677899839,-0.6080517342873979,-0.22873386263147627,-0.15575019421604988,0,2024-12-21T18:19:54.798732,
-0.27974873818826734,-0.2723149283616859,-0.36066550620231264,-0.2540310107382511,tcp,80,0.10806748585567416,-0.15542684479964505,-0.3981145201943926,-0.5341728820288352,-0.22873386263147627,0.11700526036619764,0,2024-12-21T18:19:54.813847,
-0.37905242479241347,-0.28163331689323906,-0.3608993266491631,-0.14513275818357896,http,22,-0.4770832106996003,-1.0768504403766992,-0.34866484179620455,-0.3344680113808381,-0.13552472712078473,-0.1658077379068855,0,2024-12-21T18:19:54.798732,
-0.3916310603820636,-0.1486186143504507,-0.3015693184649733,-0.2542567359799717,udp,22,-0.7587702864448401,-1.367069267399,-0.3111324738901051,-0.714540527620447,-0.3219429981421678,-0.2705401498825919,0,2024-12-21T18:19:54.813847,
-0.2853381162987672,-0.23518933613329907,-0.38326091392325384,-0.21221368602891774,http,80,0.029211884321683017,-2.6300428978022232,-0.28928387936771877,-0.5252000818659653,-0.3219429981421678,0.16083592965773394,0,2024-12-21T18:19:54.813847,
-0.3982774302751175,-0.11762150030596298,-0.4157666781371903,-0.2229234745018962,tcp,443,-0.2660782599850395,0.3686279130473378,-0.35008341761305145,0.4199139304949417,-0.13552472712078473,-0.2338631257582241,0,2024-12-21T18:19:54.813847,
